topic_id	tweet_id	tweet_url	tweet_text	claim	check_worthiness
covid-19	1235714275752267776	https://twitter.com/julialindau/status/1235714275752267776	I just landed at JFK after reporting on #coronavirus in Milan and Lombardy —the epicenter of Italy’s  outbreak— for @vicenews. I walked right through US customs. They didn’t ask me where in Italy I went or if I came into contact with sick people. They didn’t ask me anything.	1	1
covid-19	1235256530728972290	https://twitter.com/stayfrea_/status/1235256530728972290	ALERT‼️‼️‼️ The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the money in to a plastic bag and put it outside the front door tonight. I'm collecting all the plastic bags tonight for safety. Think of your health.	1	0
covid-19	1235648554338791427	https://twitter.com/A6Asap/status/1235648554338791427	COVID-19 health advice⚠️ https://t.co/XsSAo52Smu	0	0
covid-19	1235674258858061825	https://twitter.com/DrDenaGrayson/status/1235674258858061825	⚠️Chinese doctors say autopsies of #coronavirus victims suggest that #COVID19 is “like a combination of #SARS and #AIDS as it damages both the lungs and immune systems,” and can cause “irreversible” lung damage even if the patient survives.  @thespybrief https://t.co/bmnu8VIf0S	1	1
covid-19	1235663306246860800	https://twitter.com/NNUBonnie/status/1235663306246860800	.@NationalNurses President Deborah Burger reads a public statement from one of our quarantined #nurses who works at a northern California Kaiser facility.  Full statement ➡️ https://t.co/YjTAvAXTRX #COVID19 @WorksafeCA https://t.co/pSZ1ghCB2k	0	0
covid-19	1235436227140055040	https://twitter.com/BBC_Hyung/status/1235436227140055040	WOW. A man in Incheon, west of Seoul - who contracted #coronavirus - has documented his symptoms and activities for past 25 days since his felt the symptoms in 38 pages in remarkable detail. He wore masks and gloves at home and all 23 close contacts tested negative for the virus. https://t.co/2mjDiBjVtC	1	1
covid-19	1235602629247537154	https://twitter.com/This_prettyboii/status/1235602629247537154	So the CORONA virus stopping y’all from eating Chinese food N TRAVELING🙄  but HIV ain’t stop y’all from fuckin RAW😒🤔 https://t.co/VG1BGMU3ai	0	0
covid-19	1235566351093137408	https://twitter.com/mabitxch/status/1235566351093137408	Miss corona u have another job to do 😍😍	0	0
covid-19	1235620307534258176	https://twitter.com/taotiddies/status/1235620307534258176	ALERT‼️‼️‼️ The corona virus can be spread through internationaly printed albums. If you have any albums at home, put on some gloves, put all the albums in a box and put it outside the front door tonight. I'm collecting all the boxes tonight for safety. Think of your health.	1	0
covid-19	1235758466784014337	https://twitter.com/JoyceWhiteVance/status/1235758466784014337	How many people’s #Coronavirus tests could be covered by the cost of building a...tennis pavilion at the White House?	0	0
